datetime,jd,obs_change,dt_sec,dm,dmerr,N,m,merr,observer,H_alpha,H,RA_deg,DEC_deg,RA_rate,DEC_rate,RA_3sigma,DEC_3sigma,V,r,r_rate,delta,delta_rate,lighttime,alpha,ObsEclLon,ObsEclLat
1992-07-23T12:25:00.000,2448827.017361111,False,0.0,0.0,0.0,4,15.65,0.01,Tholen,15.328502716053592,15.225592614294017,303.98689,-19.65013,-0.015401138888888888,-0.0038191388888888893,0.017,0.011,15.72,1.698521595134,-15.3602873,0.68269761224208,-15.4397672,340.66938,0.4788,301.6725478,0.120442
1992-07-23T13:53:00.000,2448827.078472222,False,5280.000007152557,-0.030000000000001137,0.01414213562373095,2,15.62,0.01,Tholen,15.300928796963893,15.204641387133911,303.96289,-19.65574,-0.015427194444444445,-0.003823388888888889,0.017,0.011,15.71,1.697979407181,-15.3616788,0.68215304443636,-15.4170701,340.39764,0.4307,301.6492618,0.11999
1992-07-24T13:17:00.000,2448828.0534722223,False,84240.00000804663,0.27000000000000135,0.022360679774997897,4,15.89,0.02,Tholen,15.609513322323522,15.522588603294507,303.57436,-19.7462,-0.01583725,-0.0038884722222222224,0.017,0.011,15.67,1.689322464143,-15.3835865,0.67357316758133,-15.0544103,336.11622,0.366,301.272579,0.1126524
1992-07-27T01:33:00.000,2448830.564583333,True,216959.99998301268,-0.3000000000000007,0.10198039027185571,5,15.59,0.1,Dotto,15.407729959492487,15.121802295419046,302.52711,-19.98556,-0.01683622222222222,-0.004028777777777778,0.017,0.011,15.77,1.666971280538,-15.4373547,0.65241793373148,-14.1174753,325.55964,2.4431,300.2593435,0.092669
1992-07-27T02:34:00.000,2448830.6069444446,False,3660.0000232458115,-0.019999999999999574,0.12806248474865697,3,15.57,0.08,Dotto,15.389371348590217,15.100822940911085,302.50889,-19.98967,-0.01685225,-0.004030777777777778,0.017,0.011,15.77,1.666593568119,-15.4382274,0.65207271600787,-14.1016593,325.38738,2.479,300.241741,0.0923186
1992-07-27T03:06:00.000,2448830.629166667,False,1920.0000062584877,0.09999999999999964,0.08,1,15.67,0.0,Dotto,15.490232188781132,15.20030982657107,302.49933,-19.99182,-0.016860666666666666,-0.004031805555555556,0.017,0.011,15.77,1.666395415373,-15.4386847,0.65189177292381,-14.0933626,325.29714,2.4979,300.2325003,0.0921346
1992-07-30T01:39:00.000,2448833.56875,False,253979.99998927116,-0.2400000000000002,0.0,1,15.43,0.0,Dotto,15.36271858919012,14.912817427045614,301.1927,-20.28114,-0.017891638888888887,-0.004138333333333333,0.018,0.011,15.82,1.640133497861,-15.49621,0.62889346732763,-12.9994028,313.82082,5.0474,298.9725088,0.0667472
1992-07-30T02:35:00.000,2448833.607638889,False,3360.0000008940697,0.009999999999999787,0.02,2,15.44,0.02,Dotto,15.374187330577971,14.92236967621282,301.17489,-20.28501,-0.017904111111111114,-0.004139305555555556,0.018,0.011,15.82,1.639785426526,-15.4969299,0.62860164261877,-12.9850153,313.6752,5.0819,298.9553671,0.0663976
1992-07-30T03:30:00.000,2448833.6458333335,False,3300.0000044703484,0.07000000000000028,0.0282842712474619,3,15.51,0.02,Dotto,15.445629329062939,14.991933299418688,301.15739,-20.28882,-0.017916333333333333,-0.00414025,0.018,0.011,15.82,1.639443555039,-15.4976359,0.62831534357745,-12.9708879,313.53234000000003,5.1158,298.9385202,0.066054
1992-07-30T04:34:00.000,2448833.6902777776,False,3839.99997228384,-0.02999999999999936,0.05385164807134505,3,15.48,0.05,Dotto,15.417306646919243,14.961433394523363,301.13701,-20.29324,-0.017930527777777774,-0.004141333333333333,0.018,0.011,15.82,1.63904572138,-15.4984561,0.62798258786632,-12.9544527,313.36632,5.1552,298.9189026,0.0656537
