off1,off2,factor,chisqred
65,58,1.396724986602483e-13,0.5033797155073075
60,58,1.3888135179133657e-13,0.5076718675005357
65,60,1.3916815899879673e-13,0.5137555698438533
60,56,1.3929179244178092e-13,0.5207337927586744
70,60,1.4002831899980764e-13,0.5208032820033566
70,58,1.4043830536189324e-13,0.5222340580691769
65,56,1.4003814861155936e-13,0.5242677304020288
60,60,1.3837293178682423e-13,0.5286706582872178
55,58,1.381994215372262e-13,0.5298686082636005
55,56,1.3862832977515775e-13,0.5347430453589406
70,62,1.3951565015073234e-13,0.5545128594174394
70,56,1.4075164008998562e-13,0.5551912723755289
65,62,1.3862272892082063e-13,0.5639736856961503
60,54,1.3961067926578088e-13,0.5646287058033547
55,60,1.3771315727852592e-13,0.5682631732391018
75,60,1.4073176297588538e-13,0.5696416173727507
55,54,1.3895074916019467e-13,0.5699970494365714
50,56,1.3800409908335651e-13,0.5753520199821681
65,54,1.4032622553985501e-13,0.5778299061720586
75,58,1.4107986974113488e-13,0.580013506840351
50,58,1.3756812600427766e-13,0.5850391674597731
75,62,1.4030787659314705e-13,0.5911112731979797
60,62,1.378570011268565e-13,0.5946196277231461
50,54,1.3835425453105365e-13,0.6001004519719896
250,60,1.3876840818269045e-13,0.6065004880488724
70,54,1.4098926420738474e-13,0.617047645833516
250,62,1.385432572139289e-13,0.6175846363969081
75,56,1.4135091072749348e-13,0.6191057376369326
255,60,1.3907837340958474e-13,0.6200206102424933
255,62,1.38838650503341e-13,0.6206561535592962
245,60,1.3850703302867095e-13,0.6237833923260024
250,58,1.3899379752980296e-13,0.6289340039409489
245,58,1.3873671407837728e-13,0.6326065437593998
70,64,1.3894932931012244e-13,0.6336754779181847
55,52,1.3921212382144886e-13,0.6374348687811568
60,52,1.3987703887815715e-13,0.639662207529548
50,60,1.3710002360235636e-13,0.6431901513660423
45,56,1.3748911561772814e-13,0.6466497186646419
80,60,1.4140812137456447e-13,0.6473917927653259
245,62,1.3825736097133567e-13,0.6493304280956974
75,64,1.3978866794426375e-13,0.651257697324049
255,58,1.3930754309085518e-13,0.6529621691358346
255,64,1.3858176697444055e-13,0.654255216084369
55,62,1.3720726354183049e-13,0.6554654571006732
260,62,1.3915717955490182e-13,0.6554813197674904
50,52,1.3862470096556727e-13,0.6565360081867541
45,54,1.3786370524362417e-13,0.6582638696484482
65,52,1.405707507618759e-13,0.6595359515348579
65,64,1.380620657275873e-13,0.6611986802337542
80,62,1.4102492711683067e-13,0.6620688602981379
250,64,1.3828042618416222e-13,0.6639739936700764
260,60,1.3940716864486846e-13,0.6640667407969579
240,58,1.385236398183785e-13,0.6645699927369852
80,58,1.4172896753810743e-13,0.6673723102423098
240,60,1.382640970554696e-13,0.6718602195065806
245,56,1.3895112164436342e-13,0.6762108914799144
45,58,1.3704285541001328e-13,0.6762373237049565
260,64,1.3889151934893816e-13,0.6781692644219793
75,54,1.415599321645699e-13,0.6851027672126696
250,56,1.3921470640467657e-13,0.6859798170659264
240,56,1.3875609183279984e-13,0.6909388385400502
45,52,1.3812615919829333e-13,0.6998106794307384
70,52,1.411922354012983e-13,0.705386626204797
260,58,1.3963872562110815e-13,0.7062385914679542
60,64,1.3732497978617982e-13,0.7100311882188338
265,62,1.3952320198867793e-13,0.710786085335837
80,64,1.4055278731773775e-13,0.711748085620547
80,56,1.4194344159070498e-13,0.7127049772862017
245,64,1.379620993381779e-13,0.7131020384166783
240,62,1.3797722900282912e-13,0.7136767860702891
255,56,1.3951642779286275e-13,0.7205400568951692
255,66,1.3830057268680947e-13,0.7216687537889594
265,64,1.3924398058153083e-13,0.7238286919084301
235,58,1.382862873199948e-13,0.7314725429782178
265,60,1.3976385876165442e-13,0.7315887196278087
260,66,1.386218877080625e-13,0.734465871265199
55,50,1.3943589097806197e-13,0.736414178952345
235,56,1.3854101257290618e-13,0.7375265049820465
60,50,1.4010094299823244e-13,0.7446547508573766
50,50,1.388409669348205e-13,0.7464437187389625
250,66,1.3796076187628834e-13,0.7467211151867029
40,54,1.3741825208528692e-13,0.7493382339966274
50,62,1.366192057478668e-13,0.7530159255553475
240,54,1.3895246581883891e-13,0.7546042043471678
40,56,1.370151581667933e-13,0.7550911438082848
75,66,1.3924906567587297e-13,0.7556024019400137
45,60,1.365656591466923e-13,0.7576981085625815
245,54,1.3915344770652284e-13,0.7582329270352537
235,60,1.3799437421550916e-13,0.7586221625784696
70,66,1.3836856392053381e-13,0.7590178727234519
85,60,1.4200619093493647e-13,0.7676001191593762
85,62,1.4169045244038729e-13,0.7677832155638802
265,66,1.3895630767333843e-13,0.7704511790889553
65,50,1.4079522453782006e-13,0.7725309273604299
40,52,1.377051243958871e-13,0.7743811234715616
235,54,1.3876686023500839e-13,0.7749883448948502
45,50,1.3834056800593664e-13,0.7773335879251662
75,52,1.417355565853815e-13,0.7806822276729702
250,54,1.3940903714539312e-13,0.7814086723676085
265,58,1.3997859171766037e-13,0.7852734027987187
260,56,1.3983389687955676e-13,0.785709920168335
80,54,1.4211279947507753e-13,0.7887379497143899
240,64,1.3763646754339263e-13,0.793710087533758
85,58,1.4224488543527631e-13,0.7937162295133501
55,64,1.3667895738091504e-13,0.7943314175469431
270,62,1.3992023099176817e-13,0.7943981961748772
270,64,1.3964909963930995e-13,0.7953475138345738
80,66,1.4002819234251894e-13,0.7981531845669662
85,64,1.4129861582287837e-13,0.8019984681161763
65,66,1.3750543148700663e-13,0.8040143978973688
40,58,1.3657594736696846e-13,0.8049370637539573
245,66,1.3757118726748686e-13,0.8134378733174884
235,62,1.3768288635858729e-13,0.8186474303857368
230,56,1.383048858374209e-13,0.8195140550875152
270,60,1.4015713880710197e-13,0.8243539583538754
255,54,1.3970116116667521e-13,0.8265650732250261
70,50,1.413591941397358e-13,0.8273508154323004
270,66,1.393581422985127e-13,0.8301094832661139
260,68,1.3827184672086567e-13,0.832331200248365
255,68,1.378941308149856e-13,0.8326000590934326
40,50,1.3792487019520067e-13,0.8338935913155393
230,54,1.3855307008279876e-13,0.8345975235753171
230,58,1.3802574368925744e-13,0.8378452184396983
85,56,1.424229689301269e-13,0.8468712423751062
240,52,1.3911454127293427e-13,0.8474193365696336
235,52,1.3895419944874575e-13,0.8485292088333312
265,68,1.386303130972256e-13,0.8573425051347906
55,48,1.3963690990213817e-13,0.8634537940459097
50,48,1.3902501208022499e-13,0.8645149995395099
35,54,1.370368639102201e-13,0.8691816271470227
245,52,1.3933010681583429e-13,0.8693477143469656
60,66,1.367927001112773e-13,0.872738707072003
85,66,1.408103337697766e-13,0.8727760747431164
265,56,1.4016762975086526e-13,0.8735331488556959
250,68,1.3747501170272952e-13,0.8784677458083416
35,52,1.3733925345576985e-13,0.87851476176989
60,48,1.4030266922932061e-13,0.879301359906184
230,52,1.3876556498123582e-13,0.8831409288850143
45,48,1.3851565958520724e-13,0.8850421258486997
230,60,1.377012995701686e-13,0.8855840302088549
270,58,1.4035627447284282e-13,0.8879494010769299
45,62,1.3607142254823051e-13,0.8885940220078732
80,52,1.4223076939620017e-13,0.8905059899191663
35,56,1.366162306952925e-13,0.8945946440133543
260,54,1.400111875888668e-13,0.9010964605008807
40,60,1.3609669183596286e-13,0.9026759025761534
270,68,1.3903698610929622e-13,0.9033176598611173
75,68,1.3869296922480966e-13,0.9083211507745751
75,50,1.418784387968871e-13,0.908654703487158
250,52,1.39578564310341e-13,0.9089182444071334
240,66,1.371750330061308e-13,0.9123510365266059
90,62,1.4224035915951563e-13,0.9139138101943673
235,64,1.3729458407628194e-13,0.915357745485398
275,64,1.400229291022686e-13,0.9164037911945787
65,48,1.4096903953056624e-13,0.9167302496142862
50,64,1.3610799372220364e-13,0.9177403264175777
35,50,1.3756439916711716e-13,0.9188280305500597
90,60,1.4250081992905566e-13,0.920828569676673
40,48,1.3810626835090042e-13,0.9266847693516099
275,62,1.4024615066543104e-13,0.926901919901847
85,54,1.4257065219683208e-13,0.9271880373677381
80,68,1.3948741260904255e-13,0.930945572454615
90,64,1.4191755788548318e-13,0.93277639752225
70,68,1.3777643334465136e-13,0.9365996863933562
225,54,1.382896850285525e-13,0.9379308069474925
275,66,1.3974355334556132e-13,0.9382229043050602
225,56,1.3801653076193094e-13,0.9464595964617779
235,50,1.3910727187162094e-13,0.9541678799726612
90,58,1.4271757089142624e-13,0.9553055551063905
245,68,1.3703905653328906e-13,0.9591262999240794
35,58,1.3615776264750795e-13,0.9617092782571512
225,52,1.385382199864623e-13,0.9624253680226994
255,52,1.3987313333406242e-13,0.9650558143904753
230,50,1.3894957092498194e-13,0.9660439602614196
230,62,1.3734611770621767e-13,0.9661087768892427
275,60,1.4041173898549321e-13,0.9703310908820895
240,50,1.392655439198565e-13,0.9718693193315968
260,70,1.3783119483635556e-13,0.9775506259590426
70,48,1.4148825235242258e-13,0.9814848675891076
55,66,1.3615917374377178e-13,0.9825288321837499
225,58,1.3771524908458127e-13,0.9847167148861964
90,66,1.4152714657159488e-13,0.9849536977965465
270,56,1.4051513496711716e-13,0.9857823036202318
85,68,1.4026695689964142e-13,0.9861009722701777
265,70,1.3824093358520428e-13,0.9885133970556831
275,68,1.3944365404860716e-13,0.99220409382768
255,70,1.37413328830396e-13,0.9925794076666372
35,48,1.3774986892130547e-13,0.9925988759815828
265,54,1.4033753698283044e-13,0.9952158944319817
65,68,1.3694387592216851e-13,0.9996353863823781
245,50,1.3948188146875368e-13,1.0105993187757074
90,56,1.4288257112727014e-13,1.0129638118574775
50,46,1.391942552179248e-13,1.0149805728193326
30,52,1.370471772193251e-13,1.016550122297177
270,70,1.3867979933314357e-13,1.0171866626914554
225,50,1.3875025827537683e-13,1.0213827646225877
45,46,1.3866997450141627e-13,1.0223763735860592
30,54,1.3671236234824036e-13,1.0238682278722353
55,46,1.398240927377993e-13,1.0240258012088004
80,50,1.42324339513591e-13,1.025749179666626
85,52,1.4268583248874105e-13,1.0327534095632676
30,50,1.3729045302315308e-13,1.0337481694835975
40,62,1.3559453228444602e-13,1.0458601897042115
275,58,1.405408161738036e-13,1.0465890978153785
260,52,1.4017457622353946e-13,1.0476487219045114
40,46,1.3826079783988287e-13,1.0480277281435086
235,66,1.3676359795560688e-13,1.0485067510439652
60,46,1.4047690961145343e-13,1.0505901178509294
225,60,1.373785664580466e-13,1.0529744651564328
250,70,1.3691828158929695e-13,1.0565212400902142
30,56,1.3629972362294724e-13,1.0644870220080531
250,50,1.3972895885029775e-13,1.0658155931400264
45,64,1.3555253810328012e-13,1.0690346488024736
75,48,1.4198661306608312e-13,1.070271493501964
35,60,1.356705342719252e-13,1.07283344088469
240,68,1.3658059699299178e-13,1.0745922583649359
90,68,1.4104925942459185e-13,1.075977580013104
230,48,1.3908375598232533e-13,1.0760461220048685
220,54,1.3804406343216337e-13,1.07733816919305
220,52,1.383159068828383e-13,1.0799378479918118
230,64,1.368829810276245e-13,1.0799426192549673
280,64,1.4020751099796804e-13,1.080789280888609
275,70,1.39119408851574e-13,1.0842349470415462
30,48,1.3747970030936814e-13,1.0845236080334268
235,48,1.3922648979555236e-13,1.0853992030758457
280,66,1.3999921111119663e-13,1.0858845052196056
60,68,1.3625137054157022e-13,1.0922164325536792
95,62,1.427154813932943e-13,1.093766285062726
90,54,1.4302663059817827e-13,1.0955800032941363
35,46,1.3790608386388955e-13,1.097623209482393
