off1,off2,factor,chisqred
60,60,1.3698503672829529e-13,0.6875362855911574
60,58,1.3741028814830665e-13,0.6911121927062668
55,58,1.367985734022333e-13,0.6926663731302773
65,60,1.3770381364825926e-13,0.6936487912191587
55,60,1.363905868405685e-13,0.7059678063500364
65,58,1.3811980181407795e-13,0.7084305378968045
65,62,1.3724188253437872e-13,0.7157004941669202
55,56,1.371390186633795e-13,0.7207206491158449
70,60,1.384812034431564e-13,0.7208540199561021
60,62,1.36547566981991e-13,0.7250533203574091
50,58,1.3622924170622208e-13,0.7254232104655474
60,56,1.3773402322754972e-13,0.726286384964426
70,62,1.380529931630279e-13,0.7276878660788076
50,56,1.3657895232875708e-13,0.7397200520430384
70,58,1.388058954453718e-13,0.7457845900527478
65,56,1.3840063657625363e-13,0.750472341224917
50,60,1.3583758485312354e-13,0.7567953312202388
55,62,1.3595973199095297e-13,0.7633207942070158
250,60,1.3731588081131032e-13,0.7723806721073092
70,64,1.3757017629498448e-13,0.7751537096693938
250,62,1.371163738477489e-13,0.775481408860791
55,54,1.3736521160756243e-13,0.778574959623057
75,62,1.3876917929633433e-13,0.7788403822529448
65,64,1.367622251759262e-13,0.7800658147316647
255,62,1.3739501932080802e-13,0.7820092852948162
75,60,1.3911211160260512e-13,0.7823242095886105
245,60,1.370688479755362e-13,0.7841731671669055
45,56,1.3612013366622926e-13,0.7876687167140082
50,54,1.3682839456692604e-13,0.7891879304513794
255,60,1.3760075632979132e-13,0.790366137870647
60,54,1.3796021127889837e-13,0.791059337797305
45,58,1.3575669424196938e-13,0.7920939238261608
70,56,1.3903692925841182e-13,0.7981730307844485
245,62,1.3684716075957205e-13,0.7993212308110894
60,64,1.3609256535404844e-13,0.8067193908948422
255,64,1.3715526440869395e-13,0.807249711007157
75,64,1.3833175597484244e-13,0.809652570342354
250,64,1.3687210478452369e-13,0.8115044862707852
245,58,1.3722525531756618e-13,0.8121181666505441
250,58,1.374606566146944e-13,0.8143955255380392
75,58,1.3937632057046903e-13,0.8152065399812357
260,62,1.3769645329636412e-13,0.8162666242995665
65,54,1.3860247970571666e-13,0.8222566410726607
240,60,1.36837236823828e-13,0.8236257803290736
45,54,1.363915086787275e-13,0.8258713540083098
260,64,1.3744538124439492e-13,0.832724129718523
240,58,1.3703500356554202e-13,0.834068163017351
50,62,1.354282731432149e-13,0.835142984330331
260,60,1.3790358870020658e-13,0.8351887216900798
255,58,1.377541606948431e-13,0.8402378993484585
45,60,1.3535675714876052e-13,0.8439808378198017
245,64,1.3657265783763178e-13,0.8500013704683457
240,62,1.3658225597499933e-13,0.8519983231404051
80,62,1.3941355042994988e-13,0.8594767347649876
255,66,1.3688496727239333e-13,0.8638094984096651
70,66,1.3706985945539842e-13,0.8643584851029347
55,64,1.3550663682353647e-13,0.8663325145828145
55,52,1.3752416900566405e-13,0.8673823094220923
80,60,1.3971637974042561e-13,0.8691816366519639
40,56,1.3569829127064738e-13,0.8692563200139802
50,52,1.369903088584479e-13,0.8698228806292809
265,62,1.3803926381872776e-13,0.8699771050432131
75,56,1.3956775184537436e-13,0.872599522189474
70,54,1.39194844415809e-13,0.8757251116273805
265,64,1.377753224269576e-13,0.8778607922875578
260,66,1.3718535882366483e-13,0.8799117931090791
75,66,1.3787103374992726e-13,0.8804092663741425
250,66,1.3656652980748421e-13,0.8806644004095581
80,64,1.3902139016355011e-13,0.8811737384412819
245,56,1.3733154882839433e-13,0.8813401102521659
60,52,1.3813087474305322e-13,0.8847755908019498
65,66,1.3628389124247233e-13,0.8855196823902861
235,58,1.3682365326703407e-13,0.8856895989827003
260,58,1.3806977576227812e-13,0.8901587164523177
240,56,1.3714827828851334e-13,0.8913269661963528
40,54,1.3599848012928498e-13,0.891670391865813
250,56,1.3758479514775037e-13,0.8920385822171748
40,58,1.3533910383150516e-13,0.892472946055929
45,52,1.3654133692819293e-13,0.8943446616844657
235,60,1.3658119348838984e-13,0.8962423942237047
265,60,1.382363207345797e-13,0.8998368187511538
80,58,1.3995330275863637e-13,0.9108771919804631
240,64,1.362659714066541e-13,0.9159779511558099
265,66,1.3749726720897788e-13,0.9166600990896001
65,52,1.387621593243329e-13,0.9188496457250308
255,56,1.378797939417612e-13,0.9231206670088776
235,56,1.369533681613497e-13,0.9266448902835357
60,66,1.3563620127170304e-13,0.9305480662780974
245,66,1.361988226982433e-13,0.9338848390401226
80,66,1.38576021879675e-13,0.9357591894523902
235,62,1.3630412973105564e-13,0.9398900112046538
45,62,1.3493409323351409e-13,0.9411077611594535
270,64,1.381562738725905e-13,0.9458659090035209
40,52,1.3616776982210826e-13,0.946646042957282
270,62,1.3840876487465553e-13,0.9495154808904657
75,54,1.3970322664044763e-13,0.9522212277628925
255,68,1.3648974189422732e-13,0.9585991638409465
40,60,1.349354200030375e-13,0.9593763743491459
265,58,1.3839933383896002e-13,0.9609619712312732
50,64,1.3498947813032893e-13,0.9617996038399061
260,68,1.3684466514442404e-13,0.9636648148674826
85,62,1.4000732403591488e-13,0.9705282811842628
80,56,1.400933815770689e-13,0.972598301907531
230,58,1.3658151351352576e-13,0.9740085968230794
270,66,1.3787130794125474e-13,0.9753621981882736
70,52,1.393216883049216e-13,0.975804173986024
260,56,1.3819744054212305e-13,0.9787571335689308
85,64,1.396923422751987e-13,0.9790642546958015
35,56,1.353459346357278e-13,0.979471021653017
35,54,1.3566677323409907e-13,0.9833644152869638
270,60,1.3860946408858686e-13,0.985281846671966
240,54,1.3721449574198485e-13,0.9859697508570029
245,54,1.374172421505375e-13,0.9877965698973717
50,50,1.3707477193257114e-13,0.9881731798536983
230,56,1.3674654697800845e-13,0.9902117823673606
265,68,1.3717896797426128e-13,0.9912368084339629
55,50,1.3762234497013095e-13,0.9920289626132377
85,60,1.4024629528415557e-13,0.9923286783200321
75,68,1.3739595022355602e-13,0.9933992243305316
250,68,1.3609325942100275e-13,0.9934855254995102
70,68,1.3656088676503729e-13,0.9990937824652397
45,50,1.3661957503464923e-13,1.0028503871722274
230,60,1.3630497176248723e-13,1.0031150137040388
235,54,1.3703189131621242e-13,1.003517312983521
250,54,1.3767895815506044e-13,1.0050954471744378
60,50,1.3823981991478897e-13,1.0116169101813297
55,66,1.3505948907269672e-13,1.0136375553165673
240,66,1.3582304902174345e-13,1.015640591369011
235,64,1.3594222973394288e-13,1.0180417770939705
35,58,1.3496641353925773e-13,1.0184536733864402
85,66,1.3928162944239187e-13,1.0200271276641484
35,52,1.3584910444623174e-13,1.0247775573667968
80,68,1.3811517144827183e-13,1.0311785475470385
85,58,1.4040828477992538e-13,1.0377444200187789
65,68,1.3580035953114747e-13,1.0377779579069468
270,68,1.3755636837512676e-13,1.0384135060422723
40,50,1.3624881868296952e-13,1.0397339832400663
255,54,1.3798141995545489e-13,1.0401310047322474
65,50,1.3888882222901924e-13,1.0474558214929468
270,58,1.3877053779239444e-13,1.0511252769050692
230,54,1.3683301915383962e-13,1.0516257891027256
265,56,1.3853739196452632e-13,1.0522951710165802
275,64,1.3850873018712015e-13,1.0563724280597195
75,52,1.3980799309918835e-13,1.0572555261456595
245,68,1.356771752389195e-13,1.059550229050277
80,54,1.401943526974769e-13,1.0597199696549724
230,62,1.35986380297302e-13,1.0642097456946664
40,62,1.3450522403309414e-13,1.0675126545305793
275,62,1.387140279946593e-13,1.0699517250803496
275,66,1.382316770581995e-13,1.0755989903925918
45,64,1.3448565559139968e-13,1.0823884185882837
260,70,1.3641213674373676e-13,1.0893279340121698
225,56,1.3649574311485677e-13,1.0908009710548128
35,60,1.3455403845655292e-13,1.0976020921865353
85,68,1.388198129569871e-13,1.0976168757250513
