off1,off2,factor,chisqred
60,54,1.2239671685469414e-13,0.931485136180468
60,56,1.22097396155532e-13,0.9323586815820653
55,54,1.2184725574608278e-13,0.9335214171035818
65,56,1.227111255152406e-13,0.941609857831122
55,56,1.2154642282934194e-13,0.9424767298670056
65,54,1.229867286979058e-13,0.9492535637920433
55,52,1.220827214816475e-13,0.9593301050173441
50,54,1.213440103856975e-13,0.9627002111388054
60,52,1.2264116549340827e-13,0.9631923778141195
60,58,1.2170751632090057e-13,0.9655362229526289
65,58,1.2236180926655415e-13,0.9660102383471803
50,52,1.215840316555394e-13,0.978916607434114
70,56,1.2329151265120513e-13,0.9789170741214294
50,56,1.2101794936373314e-13,0.9833542314103964
65,52,1.2321977570535413e-13,0.9849440062952903
55,58,1.2113611553340442e-13,0.986840867702097
70,58,1.2299068278332215e-13,0.989799515134573
70,54,1.235233953782655e-13,0.9957414806638497
65,60,1.2188473438110176e-13,1.022926852138898
55,50,1.222601547060759e-13,1.0238213850974989
45,54,1.2092095927158809e-13,1.0240103730226802
45,52,1.2115221933614368e-13,1.0266910672454157
60,50,1.2282770235868245e-13,1.0301261687759011
70,60,1.2259944186351057e-13,1.0329152669397361
50,50,1.2175094578478792e-13,1.0359644105831929
60,60,1.2121889849053877e-13,1.0362626677051474
70,52,1.2372410375854133e-13,1.0372301700644304
50,58,1.205943441506342e-13,1.0451624338623606
75,56,1.23765866046005e-13,1.0518841948337685
65,50,1.2342103901762473e-13,1.054326633191213
75,58,1.2350456763621132e-13,1.054480005207536
250,58,1.2180500090828503e-13,1.0566043945253514
45,56,1.2056983216628094e-13,1.05983669834638
245,58,1.215780138069465e-13,1.066859960421383
250,60,1.2158959299734592e-13,1.0722683663838324
45,50,1.2131521402260484e-13,1.0727846598456887
75,54,1.2397350210495085e-13,1.0739067134426172
255,58,1.2207616838162966e-13,1.0749539422055099
55,60,1.2065867843022738e-13,1.0775429806089516
250,56,1.2199922557962487e-13,1.0784908166101965
245,56,1.2175663763082586e-13,1.0804269092907306
255,60,1.2185262258753154e-13,1.0832751526059305
75,60,1.2317221172532974e-13,1.0857187548344596
245,60,1.2134965464638195e-13,1.0982803734195465
255,56,1.2227417832381908e-13,1.1001571888256543
40,52,1.2077941574829377e-13,1.1079566793208495
240,58,1.2138085410376898e-13,1.108259284738812
240,56,1.215667578491753e-13,1.1094461347395101
70,50,1.2388742958269597e-13,1.1103330404704301
70,62,1.221117872593631e-13,1.1109421101928927
65,62,1.213659966807094e-13,1.1173267860051355
40,54,1.2052866735353728e-13,1.1202294166644273
260,58,1.2236241227386894e-13,1.1205306357241547
75,52,1.241519760317106e-13,1.1223519347256095
260,60,1.2212584962306836e-13,1.1250349136198752
55,48,1.2239254981683476e-13,1.1251483383900225
50,48,1.218658836877466e-13,1.1296115274529857
245,54,1.2191717183740577e-13,1.1310900678364035
250,54,1.221693601092588e-13,1.1340026134328773
255,62,1.2157953054235025e-13,1.1354291510135641
