off1,off2,factor,chisqred
65,54,1.2494108550757764e-13,0.5455305666225156
65,52,1.2526831354719906e-13,0.5459853129129872
60,52,1.2462416290242017e-13,0.5462769033494166
60,54,1.2427465522864797e-13,0.5548016533407049
55,52,1.240043823359711e-13,0.5653058021681193
60,50,1.2493527773010842e-13,0.5679258785309281
70,54,1.2555073463902203e-13,0.5702373005264648
65,56,1.2456982326008954e-13,0.5769447342422299
65,50,1.2557698789724492e-13,0.5781595631142934
55,50,1.2431694941323998e-13,0.579613441335666
70,52,1.2583667408818418e-13,0.5808521802305596
55,54,1.2365719114906268e-13,0.5832098285165014
70,56,1.2523004157974226e-13,0.5887763768423311
60,56,1.2387319736289155e-13,0.5981804643157381
50,52,1.2344878475031546e-13,0.6096354150494878
50,50,1.2375701993062356e-13,0.6129272084258
60,48,1.252234981932004e-13,0.6215382033765776
70,50,1.260920679266546e-13,0.6238388565157927
55,48,1.246063429772517e-13,0.6239993756482509
75,54,1.260642090527895e-13,0.6349242101392238
55,56,1.2325077105276798e-13,0.6368570980090363
70,58,1.2483774692734345e-13,0.6391982620439445
50,54,1.23090931600117e-13,0.6407443199687431
65,48,1.258392771658719e-13,0.6424034806072585
65,58,1.2412629274597089e-13,0.6433092093321152
75,56,1.257742399363692e-13,0.6450628646750148
50,48,1.2403333082428187e-13,0.6466034035367973
75,52,1.2632245720007572e-13,0.6556301582720895
45,50,1.232721696099549e-13,0.674387438839578
60,58,1.2338717319970312e-13,0.6746611599923804
45,52,1.2296355536739043e-13,0.6851486770516411
75,58,1.2542446319682473e-13,0.685288831322751
45,48,1.2354229303573122e-13,0.6962478221447638
70,48,1.2631061830286614e-13,0.7012687030178666
55,46,1.24883143219235e-13,0.702121532867669
75,50,1.265524235387166e-13,0.7079017301994416
50,56,1.2265458881336067e-13,0.7091381875408399
60,46,1.2548817575191872e-13,0.7111499693732569
50,46,1.2429618140318392e-13,0.7127903691827561
55,58,1.2274229338701097e-13,0.7263993689728675
70,60,1.2435171041445452e-13,0.7267931573053248
250,56,1.2385036860922953e-13,0.7328458781391575
45,54,1.226104400371581e-13,0.7330870976940737
245,56,1.2359539332853102e-13,0.7388819157467635
245,54,1.2388081833517055e-13,0.7427933077439468
80,56,1.262960072669351e-13,0.7438478160332725
80,54,1.2654751415472557e-13,0.7465499887561613
65,46,1.2605956561295802e-13,0.7469672305865732
65,60,1.2355106207156343e-13,0.7471374042096264
45,46,1.2379380635767618e-13,0.7476229209879559
250,54,1.2412916888414717e-13,0.749690033550813
250,58,1.2355155554789784e-13,0.7516056598661921
255,56,1.241337814198285e-13,0.7558747405597801
75,60,1.2499906820015228e-13,0.7592790139201703
240,54,1.2367227078221453e-13,0.7621339704926531
255,58,1.2384442306626252e-13,0.7650994186740292
