off1,off2,factor,chisqred
60,58,1.3397612814043829e-13,0.7298400879665256
55,58,1.3337240850750975e-13,0.7358730394748658
60,60,1.335340367264497e-13,0.74298639569348
65,58,1.3467431572927104e-13,0.7433078565592255
65,60,1.3424206186681434e-13,0.7446761646918614
55,56,1.3373101056360682e-13,0.7476426397396896
60,56,1.343170771624145e-13,0.7496243175270253
55,60,1.329461394598037e-13,0.7665951556277855
70,60,1.3500649246080755e-13,0.7679598145654061
65,56,1.3497282389735935e-13,0.7703730506612989
50,56,1.3317696156824209e-13,0.7715991528732303
50,58,1.3280807744209866e-13,0.7744145775354804
70,58,1.3534852688988125e-13,0.7775478124883369
65,62,1.3376475435950832e-13,0.7830392286109562
55,54,1.3397620205819134e-13,0.7904526396871382
70,62,1.3456236559065225e-13,0.7908409262519037
60,62,1.330801413600169e-13,0.7971523009457956
60,54,1.3456190708486296e-13,0.799602098119362
50,54,1.334459459175021e-13,0.8052901697918342
70,56,1.3559741069903658e-13,0.8156688846245255
250,60,1.3387600492087186e-13,0.8165113936974594
50,60,1.3239722603328312e-13,0.8235556714445583
45,56,1.327193475327848e-13,0.826001911065995
75,60,1.3562509838029095e-13,0.8274481374573213
65,54,1.3519338996887572e-13,0.8277009486527973
245,60,1.336298225407351e-13,0.8316391764104609
255,60,1.3415653157798355e-13,0.8327902247819684
250,62,1.3365895221344995e-13,0.8333784553023982
255,62,1.3393358586635312e-13,0.8381036097828095
75,62,1.3526538222785234e-13,0.8391382965706609
55,62,1.3249788328816438e-13,0.8411553050741012
250,58,1.3403861220088074e-13,0.845485219257172
75,58,1.3590687107418318e-13,0.8458585748976151
245,58,1.33804420271247e-13,0.8461619646677483
45,54,1.330110930273557e-13,0.8475564306111477
45,58,1.3233642089559788e-13,0.8479781007777201
70,64,1.340644615204159e-13,0.8546621851911849
245,62,1.3339063342192053e-13,0.8608245813350341
65,64,1.3326986944768501e-13,0.8638694663334221
55,52,1.3415441384724312e-13,0.8650689424404373
255,58,1.3432766459052818e-13,0.8695158633720785
50,52,1.3362750642600553e-13,0.8714233764289021
260,62,1.3422892229995935e-13,0.8714978832393401
240,58,1.3361176197543138e-13,0.8726215699115484
240,60,1.3339614720826181e-13,0.8760046744142174
260,60,1.3445314909001893e-13,0.8768087128728859
255,64,1.3367643925686877e-13,0.8776089111007352
60,52,1.3475119935729043e-13,0.8793442248474292
70,54,1.3577397388092301e-13,0.8795263276789689
250,64,1.333970446232268e-13,0.8838564641718654
75,64,1.3481223687840223e-13,0.8859042567388123
75,56,1.3611606659162106e-13,0.8897069140329394
60,64,1.3260887067847305e-13,0.895609401896206
45,52,1.331813495976221e-13,0.9012157144074042
260,64,1.3396052955471812e-13,0.9023788116572897
245,56,1.3392883868609917e-13,0.9028013149634083
250,56,1.3418037200886425e-13,0.910531948124363
65,52,1.353715572825653e-13,0.9105749295597807
80,60,1.3621483380495772e-13,0.9142073054164016
40,56,1.3229637487471046e-13,0.9149729944598154
240,56,1.3374326863705782e-13,0.9171900371535747
45,60,1.3191734825281276e-13,0.9177341497738623
260,58,1.3463715430292513e-13,0.9183528661576118
240,62,1.331241775514292e-13,0.9185566217156393
80,62,1.35895749867266e-13,0.9186378670025829
50,62,1.3196949397684472e-13,0.9194300902328958
40,54,1.326170196190646e-13,0.9202439098142519
265,62,1.3456312726691558e-13,0.9252927559295503
245,64,1.3309874059213433e-13,0.9262306674544469
235,58,1.3339621601470817e-13,0.9301896563310365
255,56,1.3447147226552714e-13,0.9393842989717431
265,60,1.3477722843954903e-13,0.9417572297901292
80,58,1.3646874514118246e-13,0.942289922980926
265,64,1.3428249994368696e-13,0.9473955601536875
255,66,1.3338923258775839e-13,0.9485306088433076
235,60,1.3313646172874297e-13,0.9548927991081155
80,64,1.3548783078571484e-13,0.9554961391823407
40,58,1.3191771192078475e-13,0.9556638597701907
75,54,1.3626969407867372e-13,0.9563240915628755
235,56,1.3354400187563766e-13,0.9583662477747983
70,66,1.3355016377454423e-13,0.9597755351375759
40,52,1.328068108606376e-13,0.9600712407907015
55,64,1.320279348481632e-13,0.9613260324866222
260,66,1.3368340659265125e-13,0.9639178951276666
70,52,1.359193306603228e-13,0.9664050810971683
250,66,1.3307444918058e-13,0.9679709123719641
75,66,1.3433673373442858e-13,0.9723683597349637
50,50,1.337324546351495e-13,0.9759628663204442
55,50,1.3427233789971595e-13,0.9761591646692308
65,66,1.3277690526463702e-13,0.985355648312484
265,58,1.349580845096476e-13,0.98949421244538
80,56,1.3662601955264797e-13,0.9916641392058397
60,50,1.348795097615088e-13,0.9926926038431795
260,56,1.347831206991528e-13,0.9938020701126935
45,50,1.3328061682655437e-13,0.9956632191805136
245,54,1.340331970296846e-13,0.996656036397006
240,64,1.3279128101408393e-13,0.9973863053140941
240,54,1.3382857730397678e-13,0.9993265583872136
265,66,1.339879602893121e-13,1.0004540399251012
270,62,1.349214544771208e-13,1.0061564570474246
250,54,1.3429348861918912e-13,1.01060875010067
235,62,1.3284321541462807e-13,1.0124988576674496
270,64,1.3465279921141732e-13,1.0161810628857486
35,54,1.3228208607201198e-13,1.0192579526640426
235,54,1.3364134812787348e-13,1.0227733438618196
80,66,1.3502816091705106e-13,1.0251631755457309
230,58,1.3314862125845424e-13,1.0257200795630894
245,66,1.327084888664379e-13,1.0257497140600036
65,50,1.355168971786947e-13,1.0258510292070753
270,60,1.3513887120276553e-13,1.028692577042935
230,56,1.333309723875477e-13,1.0290961586116327
85,62,1.3647379009241048e-13,1.030503381661064
45,62,1.3147692510229575e-13,1.0321862399767128
35,56,1.3194139690119626e-13,1.0324515944553116
60,66,1.3213694924786342e-13,1.0357506721355205
40,50,1.3290935713302327e-13,1.038758431115541
85,60,1.3672899852459493e-13,1.0392419887116273
40,60,1.3149557893064299e-13,1.040073845939301
255,54,1.345926339231003e-13,1.042873700540447
35,52,1.3248522858237067e-13,1.0451522280852579
75,52,1.3639288223946135e-13,1.04859662460348
85,64,1.3614313957033976e-13,1.05285632759109
270,66,1.3435203727465366e-13,1.0596057745826166
255,68,1.329770165540662e-13,1.0596416989383695
260,68,1.333258256910223e-13,1.0630794327899136
50,64,1.3151312862594132e-13,1.0634616505405756
80,54,1.3674538655678495e-13,1.0662237335083922
265,56,1.351141016972802e-13,1.067726405036227
230,60,1.328558100316348e-13,1.0688076502295198
85,58,1.3690847653185067e-13,1.0719416746903465
230,54,1.334357615101346e-13,1.078333299671514
270,58,1.3531743998911514e-13,1.0814134066093284
70,50,1.3602335178295923e-13,1.0851385083300977
35,58,1.3154368315333117e-13,1.088430335096919
265,68,1.3365300181583192e-13,1.0899507122671939
250,68,1.3258490175808066e-13,1.0979009505525135
260,54,1.3491457046357786e-13,1.0998779882439524
75,68,1.3384731819126436e-13,1.1009403190323426
235,64,1.324655054095668e-13,1.1056605419318082
35,50,1.3259157830554903e-13,1.1069806581290487
85,66,1.3571825819938102e-13,1.1081634752992184
240,52,1.3388094185975065e-13,1.1084626175834562
70,68,1.3302758985285243e-13,1.1102336683285334
240,66,1.3233304109776062e-13,1.1130722597652958
50,48,1.3378519839497372e-13,1.1140300201983737
245,52,1.3411556136427739e-13,1.1161448734283625
235,52,1.3370347655985138e-13,1.1200894100594216
55,48,1.3434556755770757e-13,1.1210594139082513
45,48,1.3332318053977828e-13,1.124745212006924
55,66,1.3156453427158994e-13,1.1252327841147234
85,56,1.370350758794684e-13,1.1271880554080829
275,64,1.3499296754975238e-13,1.1289784760014927
275,62,1.352147608046225e-13,1.1294726003940032
80,68,1.3455297111397553e-13,1.1358750775814541
270,68,1.3402117672387301e-13,1.1370582709044308
225,56,1.3307369922921638e-13,1.1376640108051388
250,52,1.343869489989959e-13,1.1379460338579659
60,48,1.349598609242794e-13,1.1423624321234365
230,62,1.3252180842653452e-13,1.1439709551725123
30,54,1.3200157096310493e-13,1.1490339539985441
65,68,1.3227881110969802e-13,1.153588469156146
40,48,1.3295521674411962e-13,1.1551951707591501
225,58,1.3284996692018497e-13,1.1579077452050919
230,52,1.3350500483386732e-13,1.1595673487351927
275,60,1.3537727834677278e-13,1.1599990775542413
30,52,1.322340683183672e-13,1.1604049927728681
275,66,1.3470079679418982e-13,1.1615532518424716
80,52,1.3681956416703267e-13,1.1620827454167504
270,56,1.3546232559639022e-13,1.1626379505251359
40,62,1.310485545770404e-13,1.1650871771571625
245,68,1.3217171090902024e-13,1.1685862149259703
225,54,1.3319272752976118e-13,1.169129689566565
75,50,1.3648143117630374e-13,1.1704024275078018
255,52,1.34707296593436e-13,1.1732794603195706
265,54,1.352562817523724e-13,1.1737180828249356
90,62,1.369450978575708e-13,1.1768145144561308
30,56,1.3166249750897166e-13,1.1774067576457325
65,48,1.355809945215152e-13,1.1803959382916929
35,60,1.311138464506621e-13,1.184615594770789
90,64,1.3668004666786858e-13,1.1853144939733804
45,64,1.3101166825379838e-13,1.190537159288096
90,60,1.3714822490926202e-13,1.1920927912690527
85,68,1.352429944013223e-13,1.2004034295055308
30,50,1.3235522090463096e-13,1.2023942200678854
260,70,1.3287710131446075e-13,1.2051135989916788
85,54,1.3713567708333862e-13,1.205202854992796
35,48,1.3263845265537646e-13,1.207281389872796
255,70,1.3248472206295085e-13,1.216263637731712
225,60,1.3254672934035178e-13,1.2183988995243595
275,58,1.3550655437754294e-13,1.2186274340893182
265,70,1.3325589624551943e-13,1.2186910736690966
275,68,1.343881302218876e-13,1.2225028712070505
90,66,1.363452395352221e-13,1.2249894631304683
60,68,1.3165432531565356e-13,1.2265398076480705
260,52,1.350395291052698e-13,1.2312605243857364
90,58,1.373093416370365e-13,1.2318744270317448
235,66,1.3193964088838873e-13,1.2342411653667027
225,52,1.332794523694606e-13,1.2350485404266869
70,48,1.360737614428673e-13,1.2385173495062183
50,66,1.3103993120550575e-13,1.2452004853620546
30,58,1.3128929009552672e-13,1.2456651068897115
240,50,1.339244513859923e-13,1.2456867185938252
235,50,1.3373138391106713e-13,1.2473960506505244
270,70,1.336555356984719e-13,1.2501773561747775
230,64,1.3207301686635862e-13,1.2518712798476395
245,50,1.3417920212298975e-13,1.2607677315543024
75,70,1.333409069232684e-13,1.2701157529289613
240,68,1.3173618765208963e-13,1.2703661715138377
250,70,1.3201818895942316e-13,1.2707266028316493
270,54,1.3558745536951867e-13,1.2714105742969608
230,50,1.335463707764457e-13,1.2729715822822885
220,56,1.3283543942548157e-13,1.2738353456268634
280,64,1.3515484781602271e-13,1.2791312901668124
30,48,1.324056665191274e-13,1.282096361745643
80,70,1.3407183181972794e-13,1.2866745670869837
80,50,1.3686992608497527e-13,1.2875128081953569
250,50,1.3447128765514556e-13,1.2881898810039967
280,62,1.3533306103557274e-13,1.2882485927101939
220,54,1.3297417331151157e-13,1.288999249285056
90,56,1.3742520091027347e-13,1.2909548078759419
50,46,1.3379705078982805e-13,1.2917663909410393
45,46,1.333135824183585e-13,1.293140289955084
280,66,1.3493211799749662e-13,1.2963167605179824
90,68,1.3593067943655135e-13,1.2977417794203785
25,54,1.3184385778919223e-13,1.2994250342784814
25,52,1.320836570551886e-13,1.300091331318991
275,56,1.3563124761577509e-13,1.3000979942099264
70,70,1.3250230234325705e-13,1.3019807761949753
265,52,1.3540869353144863e-13,1.3031813108074402
225,62,1.3217291743431198e-13,1.304339550060791
85,52,1.372075012092213e-13,1.304714209273632
55,46,1.3438278234422837e-13,1.3050327131072292
40,46,1.3294313553545385e-13,1.3101104552003282
220,58,1.32571716322166e-13,1.3145476085968555
275,70,1.3405237672510953e-13,1.3166590554800623
35,62,1.306847951683927e-13,1.3217623115416473
280,60,1.354820978259957e-13,1.3217634461877144
75,48,1.3652841888927908e-13,1.3248856614842854
25,50,1.3220336259154606e-13,1.3286001420542173
255,50,1.3482037804181268e-13,1.328916711072284
85,70,1.347634318437819e-13,1.3310013075712361
60,46,1.3499616161833915e-13,1.3316931804020233
55,68,1.3107916433285523e-13,1.3323307575393173
40,64,1.3057651935716586e-13,1.3334399892438318
225,50,1.3332968938366433e-13,1.3341273018712099
220,52,1.3306742629984788e-13,1.340911827203752
25,56,1.315305290406735e-13,1.3418095084900303
280,68,1.3466924544801796e-13,1.344133072612155
35,46,1.3262972574878057e-13,1.346822079153754
95,64,1.3710255543304994e-13,1.3524517265676956
245,70,1.3156553220770017e-13,1.352814209349289
95,62,1.3734598704977474e-13,1.3528571657420791
30,60,1.3089351408690803e-13,1.3540099976569833
65,70,1.3177864936984258e-13,1.3647041004006888
90,54,1.3752288461196193e-13,1.3712149843901886
65,46,1.3558552086735353e-13,1.3764741618338796
95,60,1.3754946762706312e-13,1.3784792625916176
280,58,1.3561328207400072e-13,1.3796519100854272
95,66,1.3680242008605243e-13,1.3796599769248856
220,60,1.3225108371977654e-13,1.3832249405564343
45,66,1.3053506926446638e-13,1.3834464174687313
260,50,1.3518101466875451e-13,1.388611539852093
25,48,1.3225344361232308e-13,1.3888247020412583
230,66,1.3150022964759682e-13,1.3909962798531936
265,72,1.3278614098737907e-13,1.3932299408164848
235,48,1.3373869495815234e-13,1.3940653610576141
260,72,1.323427827357588e-13,1.395001042279524
240,48,1.3396209601577241e-13,1.3997634869104052
270,52,1.3571969498242793e-13,1.4003427521765217
235,68,1.3130537927351211e-13,1.4034498118386876
30,46,1.3238157846342351e-13,1.4040140610946559
275,54,1.3577310255556275e-13,1.4050041139549136
90,70,1.3546077231120507e-13,1.4067326202313988
270,72,1.3322814598730923e-13,1.40800698920093
230,48,1.3354536005908795e-13,1.40980579973499
255,72,1.3190453122506057e-13,1.4193833962934126
225,64,1.316649976630859e-13,1.420100754765559
25,58,1.3119207892122213e-13,1.4215952237928888
280,70,1.3437563963041032e-13,1.422344351067548
245,48,1.3423842075937497e-13,1.4233630935835415
95,58,1.3772204465080684e-13,1.4239552720266329
220,50,1.3312541384678003e-13,1.4280431888850385
85,50,1.3726613358159422e-13,1.4304340373412978
215,54,1.3279875972539004e-13,1.4312508992001791
215,56,1.3265015563203447e-13,1.43185304256741
70,46,1.3607540650802533e-13,1.4359414662602752
95,68,1.364523437487145e-13,1.4381593214099884
80,48,1.3690515264972594e-13,1.441362472578184
60,70,1.3115244692469968e-13,1.4535777588125638
265,50,1.3556650655703867e-13,1.454649077955802
275,72,1.3366207353764438e-13,1.4547004656032307
250,48,1.345532933526686e-13,1.4561000989496997
20,52,1.3204260352397717e-13,1.4563823005972076
225,48,1.3333591501766995e-13,1.4570431382691844
280,56,1.357608114176462e-13,1.458815500737982
285,64,1.3517447299865105e-13,1.461720439777594
240,70,1.3109603535494702e-13,1.463261662133481
50,68,1.3052321399496553e-13,1.4636528735014964
20,54,1.3181770010484996e-13,1.4687693207018517
215,52,1.32876499060015e-13,1.4705443451770739
285,66,1.3499186021789606e-13,1.471486628178463
90,52,1.3759612235675084e-13,1.472357598608289
285,62,1.3535667589741745e-13,1.4747584373511091
220,62,1.3183630012895695e-13,1.4768054047059702
20,50,1.3215922270329269e-13,1.4773763714062387
80,72,1.3355317224375714e-13,1.4797338227899954
215,58,1.3236206734970582e-13,1.4828103530356336
